"id_rider";"rider_full_name";"rider_weight";"rider_height";"loc_birth";"date_birth";"birth_latitude";"birth_longitude"
999;Youichi Ui;;;Chiba;1972-11-27;35,549399;140,2647303
3593;Iker Lecuona;70;179;Valencia;2000-01-06;39,4697065;-0,3763353
3164;Jakub Kornfeil;61;169;Kyjov;1993-04-08;49,0104456;17,1224867
1579;James Lodge;;;Sheffield;1980-10-05;53,3806626;-1,4702278
1869;Sergio Gadea;60;167;;2003-03-22;;
488;Jordi Carchano;70;173;Sao Paulo;1996-06-10;-23,5506507;-46,6333824
923;Mateo Túnez;;;;;;
355;Radomil Rous;;;;;;
3340;Miquel Pons;72;180;Palma de Mallorca;1997-08-01;39,5695818;2,6500745
3120;Ai Ogura;60;169;Saitama;2001-01-26;35,9754168;139,4160114
2290;Johann Zarco;68;171;Cannes;1990-07-16;43,5515198;7,0134418
2477;Maverick Viñales;64;171;Figueres;1995-01-12;42,2666314;2,9638434
1113;Nobuatsu Aoki;;;;;;
2375;Xavier Siméon;68;174;Brussels;1989-08-31;50,8550018;4,3512333761166175
1773;Héctor Barberá;61;169;Dos Aguas;1986-11-02;39,2890143;-0,8004748
3600;Joan Mir;69;181;Palma de Mallorca;1997-09-01;39,5695818;2,6500745
2489;Olly Simpson;;;;;;
2784;Romano Fenati;62;165;Ascoli Piceno;1996-01-15;42,8834204;13,539593040686007
3423;Dominique Aegerter;69;174;Rohrbach;1990-09-30;49,0460974;7,2655417
251;Erwan Nigon;66;180;Riom;1983-09-27;45,893068;3,1136667
2577;Hafizh Syahrin;66;180;Ampang;1994-05-05;3,1505103;101,7601684
2725;Jake Dixon;63;178;Dover;1996-01-15;51,1251275;1,3134228
2326;Michael Laverty;;;;;;
1300;Pere Tutusaus;;;;;;
815;Alexis Masbou;57;165;Albi;1987-06-02;43,9277552;2,147899
1406;Imre Tóth;58;169;Budapest;1985-09-06;47,4978789;19,0402383
3197;Michele Pirro;69;177;San Giovanni Rotondo;1986-07-05;41,7069106;15,7288455
3207;Raúl Fernández;68;179;Madrid;2000-10-23;40,4167047;-3,7035825
1449;Matthew Hoyle;;;;;;
254;Franco Battaini;67;176;Torino;1997-01-14;45,0677551;7,6824892
2660;Valentino Rossi;;;Urbino;1979-02-16;43,7262608;12,6363135
193;Vincent Braillard;;;;;;
3506;Sergio García;60;167;;2003-03-22;;
3536;Adrián Fernández;56;168;Madrid;2004-01-31;40,4167047;-3,7035825
1032;Dani Pedrosa;;;Sabadell;1985-09-29;41,5421013;2,1138977
1233;Hiroki Ono;;;;;;
2771;Nakarin Atiratphuvapat;;;;;;
478;Jan Roelofs;68;177;Mühldorf;1993-08-13;48,2405007;12,5250991
3316;Lorenzo Dalla Porta;61;163;Prato;1997-06-22;43,935718050000006;11,09414726770089
2478;Maximilian Kappler;58;173;Voecklabruck;2000-08-18;48,0078587;13,6460378
2345;Randy Krummenacher;70;180;Gossau;1990-02-24;47,4155906;9,249359
988;Tom Hatton;;;;1948-12-14;;
1205;Cristian Trabalón;;;;1992-06-27;;
253;Fonsi Nieto;;;;;;
925;Matthieu Lussiana;;;Plouemeur;1988-11-20;;
799;Álvaro Molina;;;;;;
103;Kenny Roberts Jr,;;;Mountain View;1973-07-25;37,3893889;-122,0832101
2744;Karel Hanika;64;180;Brno;1990-01-02;49,1922443;16,6113382
1691;Tommaso Gabrielli;;;;;;
1289;Michael Ranseder;;;;1995-12-21;;
16;Andrea Dovizioso;;;Forlimpopoli;1986-03-23;44,1873049;12,1259056
1935;Danny Kent;65;176;Chippenham;1993-11-25;51,4587621;-2,1159032
2273;Gino Rea;64;170;London;1989-09-18;51,5074456;-0,1277653
665;Hiroshi Aoyama;57;165;Chiba;1981-10-25;35,549399;140,2647303
1240;Imre Tóth;58;169;Budapest;1985-09-06;47,4978789;19,0402383
2293;Jordi Torres;;181;Rubí;1987-08-27;41,4936194;2,0319476
3178;José Julián García;;;;;;
3098;Sylvain Guintoli;;;;;;
1081;Karel Majek;;;;;;
1480;Roy Pouw;;;;;;
3259;Celestino Vietti;65;172;Cirie;2001-10-13;45,2352767;7,6003081
3076;Remy Gardner;;;;;;
1915;Anthony West;67;175;Gold Coast;1981-07-17;-28,0023731;153,4145987
144;Peter Holmes;;;Berchtesgaden;1965-03-24;47,63108;13,0021634
3210;Romano Fenati;62;165;Ascoli Piceno;1996-01-15;42,8834204;13,539593040686007
1683;Stefan Bradl;63;170;Augsburg;1989-11-29;48,3668041;10,8986971
372;Shi Zhao Huang;;;;;;
1944;Esteve Rabat;;;;;;
2567;Eugene Laverty;;;;;;
1698;Vladimir Leonov;;;;;;
3535;Adrián Fernández;56;168;Madrid;2004-01-31;40,4167047;-3,7035825
974;Shinya Nakano;58;167;Chiba;1977-10-10;35,549399;140,2647303
563;Sete Gibernau;70;177;Barcelona;1972-12-15;41,3828939;2,1774322
3326;Marcos Ramírez;63;179;Conil de la Frontera;1997-12-16;36,277054;-6,0881874
482;Jarno Ronzoni;;;Turku;1945-12-11;60,4517531;22,2670522
3169;Joan Mir;69;181;Palma de Mallorca;1997-09-01;39,5695818;2,6500745
2940;Tetsuta Nagashima;51;163;Chiba;1970-06-14;35,549399;140,2647303
1353;Aleix Espargaró;66;180;Granollers;1989-07-30;41,6079555;2,2876008
3473;Marco Bezzecchi;61;174;Rimini;1998-11-12;43,9470982;12,630768610516004
3672;Somkiat Chantra;63;171;Chon Buri;1998-12-15;13,1857117;101,1210777
3674;Stefan Bradl;63;170;Augsburg;1989-11-29;48,3668041;10,8986971
3675;Stefan Bradl;63;170;Augsburg;1989-11-29;48,3668041;10,8986971
3676;Stefano Nepa;58;167;Giulianova;2001-11-21;42,7534856;13,9667011
1070;Jeremy McWilliams;;;;;;
3677;Syarifuddin Azman;58;163;;2001-11-24;;
2680;Arón Canet;67;170;Corbera;1999-09-30;39,1580768;-0,3540631
3422;Diogo Moreira;58;170;Brazil;2004-04-23;-10,3333333;-53,2
1718;Alex Baldolini;;;;;;
285;Jeremy McWilliams;;;;;;
1009;Alex Barros;70;174;Sao Paulo;1970-10-18;-23,5506507;-46,6333824
3619;Lorenzo Dalla Porta;61;163;Prato;1997-06-22;43,935718050000006;11,09414726770089
2553;Dani Pedrosa;;;Sabadell;1985-09-29;41,5421013;2,1138977
3174;Jorge Martín;65;167;Madrid;1998-01-29;40,4167047;-3,7035825
1092;Louis Rossi;;;;;;
607;Alex Hofmann;;;;;;
2763;María Herrera;54;162;Oropesa;1996-08-26;39,9175144;-5,1747241
720;Matthieu Lussiana;;;Plouemeur;1988-11-20;;
2884;Karel Abraham;64;180;Brno;1990-01-02;49,1922443;16,6113382
3396;Andrea Migno;60;165;Cattolica;1996-01-10;43,9639933;12,7441515
2690;Dani Pedrosa;;;Sabadell;1985-09-29;41,5421013;2,1138977
515;Marcellino Lucchi;66;172;Cesena;1957-03-13;44,136352;12,2422442
3481;Matteo Ferrari;63;175;Cesena;1997-02-12;44,136352;12,2422442
1689;Thomas Lüthi;67;172;Oberdiessbach;1986-09-06;46,8399962;7,6192848
2845;Dominique Aegerter;69;174;Rohrbach;1990-09-30;49,0460974;7,2655417
3284;Francesco Bagnaia;67;176;Torino;1997-01-14;45,0677551;7,6824892
3157;Gabriel Rodrigo;61;168;Barcelona;1996-10-12;41,3828939;2,1774322
2524;Yuki Takahashi;;;Saitama;1989-11-26;35,9754168;139,4160114
3482;Mattia Casadei;67;175;;1999-07-02;;
853;Esteve Rabat;;;;;;
2200;Román Ramos;;;;;;
606;Alex Debón;67;179;Rimini;1984-02-26;43,9470982;12,630768610516004
1932;Dani Rivas;;;Sabadell;1985-09-29;41,5421013;2,1138977
1756;Efrén Vázquez;56;160;Barakaldo;1986-09-02;43,29548;-2,9900933
1127;Rhys Moller;;;;1949-11-18;;
3651;Noah Dettwiler;;;;;;
3652;Noah Dettwiler;;;;;;
3653;Oscar Gutiérrez;;;;;;
3051;Marco Bezzecchi;61;174;Rimini;1998-11-12;43,9470982;12,630768610516004
3283;Filip Salač;66;172;Mlada Boleslav;2001-12-12;50,4116187;14,9031301
2909;Miguel Oliveira;63;170;Pragal;1995-01-04;38,6662386;-9,1799968
929;Michal Filla;;;;;;
519;Mark van Kreij;;;;;;
1863;Robertino Pietri;;;;;;
3582;Fermín Aldeguer;69;181;Murcia;2005-04-05;37,9923795;-1,1305431
530;Michel Fabrizio;69;177;San Giovanni Rotondo;1986-07-05;41,7069106;15,7288455
3586;Franco Morbidelli;67;176;Rome;1994-12-04;41,8933203;12,4829321
3301;Jeremy Alcoba;70;177;Tortosa;2001-11-15;40,8110158;0,5209333
3302;Joan Mir;69;181;Palma de Mallorca;1997-09-01;39,5695818;2,6500745
1260;Julián Simón;63;168;Villacañas;1987-04-03;39,625027;-3,333785
477;James Haydon;;;Sheffield;1980-10-05;53,3806626;-1,4702278
3131;Arón Canet;67;170;Corbera;1999-09-30;39,1580768;-0,3540631
1365;Axel Pons;72;180;Palma de Mallorca;1997-08-01;39,5695818;2,6500745
3039;Kevin Zannoni;63;172;Cesena;2000-09-08;44,136352;12,2422442
322;Mattia Angeloni;;;Italia;;42,6384261;12,674297
630;Chris Vermeulen;68;177;Brisbane;1982-06-19;-27,4689682;153,0234991
2989;Darryn Binder;63;175;Potchefstroom;1998-01-21;-26,707778;27,095833
881;Iván Silva;76;182;Barcelona;1982-06-12;41,3828939;2,1774322
1586;Joan Olivé;69;181;Palma de Mallorca;1997-09-01;39,5695818;2,6500745
2325;Maximilian Kappler;58;173;Voecklabruck;2000-08-18;48,0078587;13,6460378
3266;David Alonso;55;162;;;;
2190;Niklas Ajo;;;;;;
973;Shi Zhao Huang;;;;;;
3649;Nicholas Spinelli;;;Italy;;42,6384261;12,674297
2238;Andrea Iannone;74;179;Vasto;1989-08-09;42,12434;14,705923
2572;Francesco Bagnaia;67;176;Torino;1997-01-14;45,0677551;7,6824892
2091;Ben Spies;;;;;;
2746;Katsuyuki Nakasuga;;;;;;
730;Mika Kallio;58;166;Valkeakoski;1982-11-08;61,2637921;24,0301278
437;Daniel Pedrosa;;;Sabadell;1985-09-29;41,5421013;2,1138977
3528;Yeray Ruiz;;;;;;
3313;Keminth Kubo;;;Thailand;1999-05-21;13,03876215;101,70017611907599
3293;Iker Lecuona;70;179;Valencia;2000-01-06;39,4697065;-0,3763353
1004;Ángel Rodríguez;;;;;;
10;Alex de Angelis;67;179;Rimini;1984-02-26;43,9470982;12,630768610516004
2946;Tony Arbolino;59;171;Garbagnate Milanese;2000-08-03;45,5772279;9,080023
1892;Yonny Hernández;72;183;Medellín;1988-07-25;6,2697018;-75,60252574475943
1322;Simone Corsi;;;;;;
3281;Fermín Aldeguer;69;181;Murcia;2005-04-05;37,9923795;-1,1305431
3446;Joe Roberts;69;180;Malibu;1997-06-16;34,035591;-118,689423
2465;Luis Salom;59;170;Palma de Mallorca;1991-08-07;39,5695818;2,6500745
2175;Matteo Ferrari;63;175;Cesena;1997-02-12;44,136352;12,2422442
779;Thomas Lüthi;67;172;Oberdiessbach;1986-09-06;46,8399962;7,6192848
3527;Xavier Artigas;61;180;Barcelona;2003-05-27;41,3828939;2,1774322
605;Alex de Angelis;67;179;Rimini;1984-02-26;43,9470982;12,630768610516004
2824;Apiwat Wongthananon;;;Chonbury;1994-02-02;13,14065175;101,22702210542388
2299;Julián Simón;63;168;Villacañas;1987-04-03;39,625027;-3,333785
914;Makoto Tamada;61;171;Ehime;1976-11-04;33,6013646;132,8185275
3504;Sean Dylan Kelly;68;178;Miami;2002-05-17;25,7741728;-80,19362
1996;Luca Grünwald;59;175;Waldkraiburg;1994-11-10;48,2058812;12,4044209
3384;Adrián Fernández;56;168;Madrid;2004-01-31;40,4167047;-3,7035825
3385;Ai Ogura;60;169;Saitama;2001-01-26;35,9754168;139,4160114
804;Alessandro Brannetti;72;174;Rimini;1999-01-16;43,9470982;12,630768610516004
1550;Daniel Kartheininger;59;171;Memmingen;1992-12-21;47,9867696;10,181319
2900;Marc Márquez;64;169;Cervera;1993-02-17;41,6730667;1,2729426
3654;Pedro Acosta;62;171;Mazarrón;2004-05-25;37,5986534;-1,3138511
3655;Pol Espargaró;64;170;Granollers;1991-06-10;41,6079555;2,2876008
46;Erwan Nigon;66;180;Riom;1983-09-27;45,893068;3,1136667
2429;Héctor Barberá;61;169;Dos Aguas;1986-11-02;39,2890143;-0,8004748
2585;Isaac Viñales;66;174;Llança;1993-11-06;42,3646215;3,1581373
3300;Jaume Masià;60;165;Algemesi;2000-10-31;39,190758;-0,4357471
2635;Pol Espargaró;64;170;Granollers;1991-06-10;41,6079555;2,2876008
3656;Randy Krummenacher;70;180;Gossau;1990-02-24;47,4155906;9,249359
567;Shuhei Aoyama;57;165;Chiba;1981-10-25;35,549399;140,2647303
1130;Robert Mureșan;;;;;;
1222;Eugene Laverty;;;;;;
3523;Unai Orradre;;;;;;
