"id_rider","id_team_fk","rider_full_name","rider_name","rider_lastname","season","rider_number","racing_class","rounds_string","rounds_participated","rider_weight","rider_height","loc_birth","date_birth","birth_latitude","birth_longitude"
373,242,Shinya Nakano,Shinya,Nakano,2003,56,motogp,"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}","{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}",58,167,Chiba,1977-10-10,35.549399,140.2647303
701,683,Makoto Tamada,Makoto,Tamada,2005,6,motogp,"{1,2,5,6,7,8,9,10,11,12,13,14,15,16,17}","{1,2,5,6,7,8,9,10,11,12,13,14,15,16,17}",61,171,Ehime,1976-11-04,33.6013646,132.8185275
1544,1557,Claudio Corti,Claudio,Corti,2010,71,moto2,"{1,2,3,4,5,6,7,8,10,11,12,13,14,15,16,17,18}","{1,2,3,4,5,6,7,8,10,11,12,13,14,15,16,17,18}",,,,,,
385,235,Tohru Ukawa,Tohru,Ukawa,2003,11,motogp,"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}","{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}",,,,,,
2719,2711,Iker Lecuona,Iker,Lecuona,2017,27,moto2,"{3,4,5,7,8,9,10,11,12,13,14,15,16,17,18}","{3,4,5,7,8,9,10,11,12,13,14,15,16,17,18}",70,179,Valencia,2000-01-06,39.4697065,-0.3763353
2364,2306,Simone Corsi,Simone,Corsi,2014,3,moto2,"{5,6,7,8,9,10,11,12}","{5,6,7,8,9,10,11,12}",,,,,,
855,964,Fabricio Perrén,Fabricio,Perrén,2006,37,"250cc","{6,7,8,9,10,12,13,14,15,16,17}","{6,7,8,9,10,12,13,14,15,16,17}",,,Lehman,1988-07-01,41.3170249,-76.0224235
2295,2295,Jorge Navarro,Jorge,Navarro,2014,99,moto3,"{10,11,12,13,14,15,16,17,18}","{10,11,12,13,14,15,16,17,18}",64,173,La Puebla de Vallbona,1996-02-03,39.5907339,-0.5532185
2174,2146,María Herrera,María,Herrera,2013,6,moto3,{13},{13},54,162,Oropesa,1996-08-26,39.9175144,-5.1747241
3425,3427,Enea Bastianini,Enea,Bastianini,2022,23,motogp,"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}","{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}",64,168,Rimini,1997-12-30,43.9470982,12.630768610516004
