"id_constructor","des_constructor","racing_class","season"
163,MIR,moto2,2010
164,Moriwaki,moto2,2010
165,Motobi,moto2,2010
166,MZ-RE Honda,moto2,2010
167,Pons Kalex,moto2,2010
168,Promoharris,moto2,2010
169,RBB,moto2,2010
170,RSV,moto2,2010
171,Speed Up,moto2,2010
172,Suter,moto2,2010
173,Suzuki,motogp,2010
174,Tech 3,moto2,2010
175,TSR,moto2,2010
176,Yamaha,"125cc",2010
177,Yamaha,motogp,2010
178,Aprilia,"125cc",2011
179,Derbi,"125cc",2011
180,Ducati,motogp,2011
181,FTR,moto2,2011
182,Honda,"125cc",2011
183,Honda,motogp,2011
184,Kalex,moto2,2011
185,KTM,"125cc",2011
186,Mahindra,"125cc",2011
187,MIR Racing,moto2,2011
188,Moriwaki,moto2,2011
189,Motobi,moto2,2011
190,MZ-RE Honda,moto2,2011
191,Pons Kalex,moto2,2011
192,Suter,moto2,2011
193,Suzuki,motogp,2011
194,Tech 3,moto2,2011
195,Ten Kate,moto2,2011
196,TSR,moto2,2011
197,Yamaha,motogp,2011
198,AJR,moto2,2012
199,APR+Kawasaki,motogp,2012
200,ART+Aprilia,motogp,2012
201,BCL+Aprilia,motogp,2012
202,Bimota,moto2,2012
203,BQR+Kawasaki,motogp,2012
204,BQR-FTR+Kawasaki,motogp,2012
205,Ducati,motogp,2012
206,FGR Honda,moto3,2012
207,FTR,moto2,2012
208,FTR Honda,moto3,2012
209,FTR+Honda,motogp,2012
210,Honda,moto3,2012
211,Honda,motogp,2012
212,IAMT,moto2,2012
213,Inmotec+Kawasaki,motogp,2012
214,Ioda,moto3,2012
215,Ioda+Aprilia,motogp,2012
216,Ioda-Suter+BMW,motogp,2012
217,Kalex,moto2,2012
218,Kalex KTM,moto3,2012
219,KRP Honda,moto3,2012
220,KTM,moto3,2012
221,Mahindra,moto3,2012
222,Moriwaki,moto2,2012
223,Motobi,moto2,2012
224,MZ FTR,moto2,2012
225,MZ FTR,moto3,2012
226,MZ-RE Honda,moto2,2012
227,MZ-RE Honda,moto3,2012
228,Oral,moto3,2012
229,Speed Up,moto2,2012
230,Suter,moto2,2012
231,Suter Honda,moto3,2012
232,Suter+BMW,motogp,2012
233,Tech 3,moto2,2012
234,TSR Honda,moto3,2012
235,Yamaha,motogp,2012
