"id_grandprix","id_track_fk","des_grandprix","num_round","num_laps","season","gp_date","saturday_race","night_race"
78,13,Marlboro Malaysian Motorcycle Grand Prix,13,,2006,2006-09-10,false,false
79,11,GMC Australian Grand Prix,14,,2006,2006-09-17,false,false
80,16,A-Style Grand Prix of Japan,15,,2006,2006-09-24,false,false
81,1,bwin.com Grande Prémio de Portugal,16,,2006,2006-10-15,false,false
82,6,Gran Premio bwin.com de la Comunitat Valenciana,17,,2006,2006-10-29,false,false
83,18,Commercialbank Grand Prix of Qatar,1,,2007,2007-03-10,true,false
84,7,Gran Premio bwin.com de España,2,,2007,2007-03-25,false,false
85,19,Grand Prix of Turkey,3,,2007,2007-04-22,false,false
86,21,Sinopec Great Wall Lubricants Grand Prix of China,4,,2007,2007-05-06,false,false
87,4,Alice Grand Prix de France,5,,2007,2007-05-20,false,false
88,9,Gran Premio d'Italia Alice,6,,2007,2007-06-03,false,false
89,5,Gran Premi Cinzano de Catalunya,7,,2007,2007-06-10,false,false
90,8,Nickel & Dime British Grand Prix,8,,2007,2007-06-24,false,false
91,15,A-Style TT Assen,9,,2007,2007-06-30,true,false
92,12,Alice Motorrad Grand Prix Deutschland,10,,2007,2007-07-15,false,false
93,20,Red Bull U.S. Grand Prix,11,,2007,2007-07-22,false,false
94,3,Cardion AB Grand Prix České republiky,12,,2007,2007-08-19,false,false
95,22,Gran Premio Cinzano di San Marino e Della Riviera di Rimini,13,,2007,2007-09-02,false,false
96,1,bwin.com Grande Prémio de Portugal,14,,2007,2007-09-16,false,false
97,16,A-Style Grand Prix of Japan,15,,2007,2007-09-23,false,false
98,11,GMC Australian Grand Prix,16,,2007,2007-10-14,false,false
99,13,Polini Malaysian Motorcycle Grand Prix,17,,2007,2007-10-21,false,false
100,6,Gran Premio bwin.com de la Comunitat Valenciana,18,,2007,2007-11-04,false,false
101,18,Commercialbank Grand Prix of Qatar,1,,2008,2008-03-09,false,true
102,7,Gran Premio bwin.com de España,2,,2008,2008-03-30,false,false
103,1,bwin.com Grande Prémio de Portugal,3,,2008,2008-04-13,false,false
104,21,Pramac Grand Prix of China,4,,2008,2008-05-04,false,false
105,4,Alice Grand Prix de France,5,,2008,2008-05-18,false,false
106,9,Gran Premio d'Italia Alice,6,,2008,2008-06-01,false,false
107,5,Gran Premi Cinzano de Catalunya,7,,2008,2008-06-08,false,false
108,8,bwin.com British Grand Prix,8,,2008,2008-06-22,false,false
109,15,A-Style TT Assen,9,,2008,2008-06-28,true,false
110,12,Alice Motorrad Grand Prix Deutschland,10,,2008,2008-07-13,false,false
111,20,Red Bull U.S. Grand Prix,11,,2008,2008-07-20,false,false
112,3,Cardion ab Grand Prix České republiky,12,,2008,2008-08-17,false,false
113,22,Gran Premio Cinzano di San Marino e Della Riviera di Rimini,13,,2008,2008-08-31,false,false
114,23,Red Bull Indianapolis Grand Prix,14,,2008,2008-09-14,false,false
115,16,A-Style Grand Prix of Japan,15,,2008,2008-09-28,false,false
116,11,Australian Grand Prix,16,,2008,2008-10-05,false,false
117,13,Polini Malaysian Motorcycle Grand Prix,17,,2008,2008-10-19,false,false
118,6,Gran Premio Parts Europe de la Comunitat Valenciana,18,,2008,2008-10-26,false,false
119,18,Commercialbank Grand Prix of Qatar,1,,2009,2009-04-13,false,true
120,16,Polini Grand Prix of Japan,2,,2009,2009-04-26,false,false
121,7,Gran Premio bwin.com de España,3,,2009,2009-05-03,false,false
122,4,Grand Prix de France,4,,2009,2009-05-17,false,false
123,9,Gran Premio d'Italia Alice,5,,2009,2009-05-31,false,false
124,5,Gran Premi Cinzano de Catalunya,6,,2009,2009-06-14,false,false
125,15,Alice TT Assen,7,,2009,2009-06-27,true,false
126,20,Red Bull U.S. Grand Prix,8,,2009,2009-07-05,false,false
127,12,Alice Motorrad Grand Prix Deutschland,9,,2009,2009-07-19,false,false
128,8,British Grand Prix,10,,2009,2009-07-26,false,false
129,3,Cardion ab Grand Prix České republiky,11,,2009,2009-08-16,false,false
130,23,Red Bull Indianapolis Grand Prix,12,,2009,2009-08-30,false,false
131,22,Gran Premio Cinzano di San Marino e Della Riviera di Rimini,13,,2009,2009-09-06,false,false
132,1,bwin.com Grande Prémio de Portugal,14,,2009,2009-10-04,false,false
133,11,Iveco Australian Grand Prix,15,,2009,2009-10-18,false,false
134,13,Shell Advance Malaysian Motorcycle Grand Prix,16,,2009,2009-10-25,false,false
135,6,GP Generali de la Comunitat Valenciana,17,,2009,2009-11-08,false,false
136,18,Commercialbank Grand Prix of Qatar,1,,2010,2010-04-11,false,true
137,7,Gran Premio bwin de España,2,,2010,2010-05-02,false,false
138,4,Monster Energy Grand Prix de France,3,,2010,2010-05-23,false,false
139,9,Gran Premio d'Italia TIM,4,,2010,2010-06-06,false,false
140,25,AirAsia British Grand Prix,5,,2010,2010-06-20,false,false
141,15,TIM TT Assen,6,,2010,2010-06-26,true,false
142,5,Gran Premi Aperol de Catalunya,7,,2010,2010-07-04,false,false
143,12,eni Motorrad Grand Prix Deutschland,8,,2010,2010-07-18,false,false
144,20,Red Bull U.S. Grand Prix,9,,2010,2010-07-25,false,false
145,3,Cardion ab Grand Prix České republiky,10,,2010,2010-08-15,false,false
146,23,Red Bull Indianapolis Grand Prix,11,,2010,2010-08-29,false,false
147,22,Gran Premio Aperol di San Marino e Della Riviera di Rimini,12,,2010,2010-09-05,false,false
148,24,Gran Premio A-Style de Aragón,13,,2010,2010-09-19,false,false
149,16,Grand Prix of Japan,14,,2010,2010-10-03,false,false
150,13,Shell Advance Malaysian Motorcycle Grand Prix,15,,2010,2010-10-10,false,false
151,11,Iveco Australian Grand Prix,16,,2010,2010-10-17,false,false
152,1,bwin Grande Prémio de Portugal,17,,2010,2010-10-31,false,false
153,6,Gran Premio Generali de la Comunitat Valenciana,18,,2010,2010-11-07,false,false
154,18,Commercialbank Grand Prix of Qatar,1,,2011,2011-03-20,false,true
155,7,Gran Premio bwin de España,2,,2011,2011-04-03,false,false
156,1,bwin Portuguese Grand Prix,3,,2011,2011-05-01,false,false
157,4,Monster Energy Grand Prix de France,4,,2011,2011-05-15,false,false
158,5,Gran Premi Aperol de Catalunya,5,,2011,2011-06-05,false,false
159,25,AirAsia British Grand Prix,6,,2011,2011-06-12,false,false
160,15,Iveco TT Assen,7,,2011,2011-06-25,true,false
161,9,Gran Premio d'Italia TIM,8,,2011,2011-07-03,false,false
162,12,eni Motorrad Grand Prix Deutschland,9,,2011,2011-07-17,false,false
163,20,Red Bull U.S. Grand Prix,10,,2011,2011-07-24,false,false
164,3,Cardion AB Grand Prix České republiky,11,,2011,2011-08-14,false,false
165,23,Red Bull Indianapolis Grand Prix,12,,2011,2011-08-28,false,false
166,22,Gran Premio Aperol di San Marino e Della Riviera di Rimini,13,,2011,2011-09-04,false,false
167,24,Gran Premio de Aragón,14,,2011,2011-09-18,false,false
168,16,Grand Prix of Japan,15,,2011,2011-10-02,false,false
169,11,Iveco Australian Motorcycle Grand Prix,16,,2011,2011-10-16,false,false
170,13,Shell Advance Malaysian Motorcycle Grand Prix,17,,2011,2011-10-23,false,false
171,6,Gran Premio Generali de la Comunitat Valenciana,18,,2011,2011-11-06,false,false
172,18,Commercialbank Grand Prix of Qatar,1,,2012,2012-04-08,false,true
173,7,Gran Premio bwin de España,2,,2012,2012-04-29,false,false
174,1,Grande Prémio de Portugal,3,,2012,2012-05-06,false,false
175,4,Monster Energy Grand Prix de France,4,,2012,2012-05-20,false,false
176,5,Gran Premi Aperol de Catalunya,5,,2012,2012-06-03,false,false
177,25,Hertz British Grand Prix,6,,2012,2012-06-17,false,false
178,15,Iveco TT Assen,7,,2012,2012-06-30,true,false
179,12,eni Motorrad Grand Prix Deutschland,8,,2012,2012-07-08,false,false
180,9,Gran Premio d'Italia TIM,9,,2012,2012-07-15,false,false
181,20,Red Bull U.S. Grand Prix,10,,2012,2012-07-29,false,false
182,23,Red Bull Indianapolis Grand Prix,11,,2012,2012-08-19,false,false
183,3,bwin Grand Prix České republiky,12,,2012,2012-08-26,false,false
184,26,Gran Premio Aperol di San Marino e Della Riviera di Rimini,13,,2012,2012-09-16,false,false
185,24,Gran Premio Iveco de Aragón,14,,2012,2012-09-30,false,false
186,16,AirAsia Grand Prix of Japan,15,,2012,2012-10-14,false,false
187,13,Malaysian Motorcycle Grand Prix,16,,2012,2012-10-21,false,false
188,11,AirAsia Australian Grand Prix,17,,2012,2012-10-28,false,false
189,6,Gran Premio Generali de la Comunitat Valenciana,18,,2012,2012-11-11,false,false
190,18,Commercialbank Grand Prix of Qatar,1,,2013,2013-04-07,false,true
191,27,Red Bull Grand Prix of the Americas,2,,2013,2013-04-21,false,false
192,7,Gran Premio bwin de España,3,,2013,2013-05-05,false,false
193,4,Monster Energy Grand Prix de France,4,,2013,2013-05-19,false,false
194,9,Gran Premio d'Italia TIM,5,,2013,2013-06-02,false,false
195,5,Gran Premi Aperol de Catalunya,6,,2013,2013-06-16,false,false
196,15,Iveco TT Assen,7,,2013,2013-06-29,true,false
197,12,eni Motorrad Grand Prix Deutschland,8,,2013,2013-07-14,false,false
198,20,Red Bull U.S. Grand Prix,9,,2013,2013-07-21,false,false
199,23,Red Bull Indianapolis Grand Prix,10,,2013,2013-08-18,false,false
200,3,bwin Grand Prix České republiky,11,,2013,2013-08-25,false,false
201,25,Hertz British Grand Prix,12,,2013,2013-09-01,false,false
202,26,Gran Premio Aperol di San Marino e Della Riviera di Rimini,13,,2013,2013-09-15,false,false
203,24,Gran Premio Iveco de Aragón,14,,2013,2013-09-29,false,false
204,13,Shell Advance Malaysian Motorcycle Grand Prix,15,,2013,2013-10-13,false,false
205,11,Tissot Australian Grand Prix,16,,2013,2013-10-20,false,false
206,16,AirAsia Grand Prix of Japan,17,,2013,2013-10-27,false,false
207,6,Gran Premio Generali de la Comunitat Valenciana,18,,2013,2013-11-10,false,false
208,18,Commercial Bank Grand Prix of Qatar,1,,2014,2014-03-23,false,true
209,27,Red Bull Grand Prix of the Americas,2,,2014,2014-04-13,false,false
210,28,Gran Premio Red Bull de la República Argentina,3,,2014,2014-04-27,false,false
211,7,Gran Premio bwin de España,4,,2014,2014-05-04,false,false
212,4,Monster Energy Grand Prix de France,5,,2014,2014-05-18,false,false
213,9,Gran Premio d'Italia TIM,6,,2014,2014-06-01,false,false
214,29,Gran Premi Monster Energy de Catalunya,7,,2014,2014-06-15,false,false
215,15,Iveco Daily TT Assen,8,,2014,2014-06-28,true,false
216,12,eni Motorrad Grand Prix Deutschland,9,,2014,2014-07-13,false,false
217,23,Red Bull Indianapolis Grand Prix,10,,2014,2014-08-10,false,false
218,3,bwin Grand Prix České republiky,11,,2014,2014-08-17,false,false
219,25,Hertz British Grand Prix,12,,2014,2014-08-31,false,false
220,26,Gran Premio TIM di San Marino e Della Riviera di Rimini,13,,2014,2014-09-14,false,false
221,24,Gran Premio Movistar de Aragón,14,,2014,2014-09-28,false,false
222,16,Motul Grand Prix of Japan,15,,2014,2014-10-12,false,false
223,11,Tissot Australian Grand Prix,16,,2014,2014-10-19,false,false
224,13,Shell Advance Malaysian Motorcycle Grand Prix,17,,2014,2014-10-26,false,false
225,6,Gran Premio Generali de la Comunitat Valenciana,18,,2014,2014-11-09,false,false
226,18,Commercial Bank Grand Prix of Qatar,1,,2015,2015-03-29,false,true
227,27,Red Bull Grand Prix of the Americas,2,,2015,2015-04-12,false,false
228,28,Gran Premio Red Bull de la República Argentina,3,,2015,2015-04-19,false,false
229,7,Gran Premio bwin de España,4,,2015,2015-05-03,false,false
230,4,Monster Energy Grand Prix de France,5,,2015,2015-05-17,false,false
231,9,Gran Premio d'Italia TIM,6,,2015,2015-05-31,false,false
232,29,Gran Premi Monster Energy de Catalunya,7,,2015,2015-06-14,false,false
233,15,Motul TT Assen,8,,2015,2015-06-27,true,false
234,12,GoPro Motorrad Grand Prix Deutschland,9,,2015,2015-07-12,false,false
235,23,Red Bull Indianapolis Grand Prix,10,,2015,2015-08-09,false,false
236,3,bwin Grand Prix České republiky,11,,2015,2015-08-16,false,false
237,25,Octo British Grand Prix,12,,2015,2015-08-30,false,false
238,26,Gran Premio TIM di San Marino e della Riviera di Rimini,13,,2015,2015-09-13,false,false
239,24,Gran Premio Movistar de Aragón,14,,2015,2015-09-27,false,false
240,16,Motul Grand Prix of Japan,15,,2015,2015-10-11,false,false
241,11,Pramac Australian Motorcycle Grand Prix,16,,2015,2015-10-18,false,false
242,13,Shell Malaysia Motorcycle Grand Prix,17,,2015,2015-10-25,false,false
243,6,Gran Premio Motul de la Comunitat Valenciana,18,,2015,2015-11-08,false,false
244,18,Commercial Bank Grand Prix of Qatar,1,,2016,2016-03-20,false,true
245,28,Gran Premio Motul de la República Argentina,2,,2016,2016-04-03,false,false
246,27,Red Bull Grand Prix of the Americas,3,,2016,2016-04-10,false,false
247,7,Gran Premio Red Bull de España,4,,2016,2016-04-24,false,false
248,4,Monster Energy Grand Prix de France,5,,2016,2016-05-08,false,false
249,9,Gran Premio d'Italia TIM,6,,2016,2016-05-22,false,false
250,29,Gran Premi Monster Energy de Catalunya,7,,2016,2016-06-05,false,false
251,15,Motul TT Assen,8,,2016,2016-06-26,false,false
252,12,GoPro Motorrad Grand Prix Deutschland,9,,2016,2016-07-17,false,false
253,30,NeroGiardini Motorrad Grand Prix von Österreich,10,,2016,2016-08-14,false,false
254,3,HJC Helmets Grand Prix České republiky,11,,2016,2016-08-21,false,false
255,25,Octo British Grand Prix,12,,2016,2016-09-04,false,false
256,26,Gran Premio TIM di San Marino e della Riviera di Rimini,13,,2016,2016-09-11,false,false
257,24,Gran Premio Movistar de Aragón,14,,2016,2016-09-25,false,false
258,16,Motul Grand Prix of Japan,15,,2016,2016-10-16,false,false
259,11,Michelin Australian Motorcycle Grand Prix,16,,2016,2016-10-23,false,false
260,13,Shell Malaysia Motorcycle Grand Prix,17,,2016,2016-10-30,false,false
261,6,Gran Premio Motul de la Comunitat Valenciana,18,,2016,2016-11-13,false,false
262,18,Grand Prix of Qatar,1,,2017,2017-03-26,false,true
263,28,Gran Premio Motul de la República Argentina,2,,2017,2017-04-09,false,false
264,27,Red Bull Grand Prix of the Americas,3,,2017,2017-04-23,false,false
265,7,Gran Premio Red Bull de España,4,,2017,2017-05-07,false,false
266,4,HJC Helmets Grand Prix de France,5,,2017,2017-05-21,false,false
267,9,Gran Premio d'Italia Oakley,6,,2017,2017-06-04,false,false
268,29,Gran Premi Monster Energy de Catalunya,7,,2017,2017-06-11,false,false
269,15,Motul TT Assen,8,,2017,2017-06-25,false,false
270,12,GoPro Motorrad Grand Prix Deutschland,9,,2017,2017-07-02,false,false
271,3,Monster Energy Grand Prix České republiky,10,,2017,2017-08-06,false,false
272,30,NeroGiardini Motorrad Grand Prix von Österreich,11,,2017,2017-08-13,false,false
273,25,Octo British Grand Prix,12,,2017,2017-08-27,false,false
274,26,Gran Premio Tribul MasterCard di San Marino e della Riviera di Rimini,13,,2017,2017-09-10,false,false
275,24,Gran Premio Movistar de Aragón,14,,2017,2017-09-24,false,false
276,16,Motul Grand Prix of Japan,15,,2017,2017-10-15,false,false
277,11,Michelin Australian Motorcycle Grand Prix,16,,2017,2017-10-22,false,false
278,13,Shell Malaysia Motorcycle Grand Prix,17,,2017,2017-10-29,false,false
279,6,Gran Premio Motul de la Comunitat Valenciana,18,,2017,2017-11-12,false,false
280,18,Grand Prix of Qatar,1,,2018,2018-03-18,false,true
281,28,Gran Premio Motul de la República Argentina,2,,2018,2018-04-08,false,false
282,27,Red Bull Grand Prix of the Americas,3,,2018,2018-04-22,false,false
283,32,Gran Premio Red Bull de España,4,,2018,2018-05-06,false,false
284,4,HJC Helmets Grand Prix de France,5,,2018,2018-05-20,false,false
285,9,Gran Premio d'Italia Oakley,6,,2018,2018-06-03,false,false
286,29,Gran Premi Monster Energy de Catalunya,7,,2018,2018-06-17,false,false
287,15,Motul TT Assen,8,,2018,2018-07-01,false,false
288,12,Pramac Motorrad Grand Prix Deutschland,9,,2018,2018-07-15,false,false
289,3,Monster Energy Grand Prix České republiky,10,,2018,2018-08-05,false,false
290,30,Eyetime Motorrad Grand Prix von Österreich,11,,2018,2018-08-12,false,false
291,25,GoPro British Grand Prix,12,,2018,2018-08-26,false,false
